cobranca_id,status,origem_tipo,origem_subtipo,updated_at
50,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
51,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
72,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
73,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
116,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
117,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
127,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
149,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
160,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
172,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
193,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
217,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
261,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
338,CANCELADA,MATRICULA,CARTAO_CONEXAO,Tue Mar 17 2026 19:26:28 GMT-0300 (Horário Padrão de Brasília)
